primaryName,birthYear,deathYear,primaryProfession
Jean-Luc Godard,1930,\N,"director,writer,editor"
Valeria Golino,1965,\N,"actress,producer,soundtrack"
Cuba Gooding Jr.,1968,\N,"actor,soundtrack,producer"
John Goodman,1952,\N,"actor,soundtrack,producer"
Serena Grandi,1958,\N,actress
Hugh Grant,1960,\N,"actor,soundtrack"
Peter Greenaway,1942,\N,"director,writer,editor"
Jennifer Grey,1960,\N,"actress,soundtrack"
Pam Grier,1949,\N,"actress,soundtrack,writer"
D.W. Griffith,1875,1948,"director,writer,producer"
Melanie Griffith,1957,\N,"actress,producer"
Steve Guttenberg,1958,\N,"actor,producer,soundtrack"
Taylor Hackford,1944,\N,"producer,director,writer"
Gene Hackman,1930,\N,"actor,soundtrack,producer"
Corey Haim,1971,2010,"actor,producer,soundtrack"
Mark Hamill,1951,\N,"actor,producer,soundtrack"
Daryl Hannah,1960,\N,"actress,producer,soundtrack"
Curtis Hanson,1945,2016,"director,producer,writer"
Woody Harrelson,1961,\N,"actor,producer,soundtrack"
Ed Harris,1950,\N,"actor,producer,director"
Neil Patrick Harris,1973,\N,"actor,soundtrack,producer"
Nina Hartley,1959,\N,"actress,director,producer"
Noah Hathaway,1971,\N,"actor,miscellaneous"
Rutger Hauer,1944,\N,"actor,producer,director"
Goldie Hawn,1945,\N,"actress,producer,soundtrack"
Glenne Headly,1955,2017,actress
Dan Hedaya,1940,\N,"actor,soundtrack"
Mariel Hemingway,1961,\N,"actress,soundtrack,producer"
Marilu Henner,1952,\N,"actress,miscellaneous,producer"
Lance Henriksen,1940,\N,"actor,miscellaneous"
Natasha Henstridge,1974,\N,"actress,producer,soundtrack"
Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack"
Gaby Hoffmann,1982,\N,"actress,soundtrack,director"
Lauren Holly,1963,\N,"actress,producer"
Ian Holm,1931,\N,"actor,soundtrack,animation_department"
Dennis Hopper,1936,2010,"actor,director,writer"
John Hughes,1950,2009,"writer,producer,director"
Holly Hunter,1958,\N,"actress,producer,soundtrack"
John Hurt,1940,2017,"actor,soundtrack"
William Hurt,1950,\N,"actor,producer"
Timothy Hutton,1960,\N,"actor,producer,director"
Jeremy Irons,1948,\N,"actor,soundtrack,producer"
Michael Ironside,1950,\N,"actor,producer,writer"
Kate Jackson,1948,\N,"actress,producer,director"
Famke Janssen,1964,\N,"actress,writer,director"
Jim Jarmusch,1953,\N,"director,writer,actor"
Ron Jeremy,1953,\N,"actor,director,writer"
Jean-Pierre Jeunet,1953,\N,"director,writer,producer"
Don Johnson,1949,\N,"actor,producer,soundtrack"
Lynn-Holly Johnson,1958,\N,"actress,director"
James Earl Jones,1931,\N,"actor,soundtrack"
Jeffrey Jones,1946,\N,actor
Raul Julia,1940,1994,"actor,soundtrack"
Boris Karloff,1887,1969,"actor,soundtrack"
Diane Keaton,1946,\N,"actress,producer,director"
Michael Keaton,1951,\N,"actor,producer,soundtrack"
Patsy Kensit,1968,\N,"actress,soundtrack"
Sally Kirkland,1941,\N,"actress,producer,miscellaneous"
Mia Kirshner,1975,\N,actress
Tawny Kitaen,1961,\N,"actress,producer"
Walter Koenig,1936,\N,"actor,writer,producer"
Elias Koteas,1961,\N,"actor,producer"
Alice Krige,1954,\N,"actress,producer,writer"
Sylvia Kristel,1952,2012,"actress,soundtrack,director"
Christopher Lambert,1957,\N,"actor,producer,writer"
John Landis,1950,\N,"producer,director,actor"
Fritz Lang,1890,1976,"director,writer,producer"
Heather Langenkamp,1964,\N,"actress,special_effects,make_up_department"
Ang Lee,1954,\N,"director,producer,writer"
Brandon Lee,1965,1993,"actor,miscellaneous"
Christopher Lee,1922,2015,"actor,soundtrack,producer"
Spike Lee,1957,\N,"director,producer,writer"
John Leguizamo,1964,\N,"actor,writer,producer"
Jennifer Jason Leigh,1962,\N,"actress,producer,soundtrack"
Jack Lemmon,1925,2001,"actor,soundtrack,producer"
Robert Sean Leonard,1969,\N,"actor,soundtrack"
T̩a Leoni,1966,\N,"actress,producer"
Juliette Lewis,1973,\N,"actress,soundtrack,director"
Jennifer Lien,1974,\N,"actress,producer,miscellaneous"
Matthew Lillard,1970,\N,"actor,producer,soundtrack"
Bai Ling,1966,\N,"actress,producer,writer"
Richard Linklater,1960,\N,"producer,director,writer"
Ray Liotta,1954,\N,"actor,producer,soundtrack"
Christopher Lloyd,1938,\N,"actor,soundtrack"
Emily Lloyd,1970,\N,actress
Amy Locane,1971,\N,"actress,soundtrack"
Nia Long,1970,\N,"actress,soundtrack"
Julia Louis-Dreyfus,1961,\N,"actress,producer,soundtrack"
Rob Lowe,1964,\N,"actor,producer,soundtrack"
Carey Lowell,1961,\N,actress
Bela Lugosi,1882,1956,"actor,costume_department,soundtrack"
Andie MacDowell,1958,\N,"actress,producer,soundtrack"
Shirley MacLaine,1934,\N,"actress,soundtrack,writer"
Elle Macpherson,1964,\N,"actress,producer"
William H. Macy,1950,\N,"actor,writer,soundtrack"
Michael Madsen,1957,\N,"actor,producer,writer"
Virginia Madsen,1961,\N,"actress,producer,soundtrack"
Lee Majors,1939,\N,"actor,music_department,producer"
Terrence Malick,1943,\N,"writer,producer,director"
John Malkovich,1953,\N,"actor,producer,director"
David Mamet,1947,\N,"writer,producer,director"
Michael Mann,1943,\N,"producer,writer,director"
Sophie Marceau,1966,\N,"actress,director,writer"
Vanessa Marcil,1968,\N,actress
Julianna Margulies,1966,\N,"actress,producer,soundtrack"
